"_time","avg_ResponseTime","min_ResponseTime","max_ResponseTime"
"2025-03-11T23:15:00.000-0400","2.9172857142857147","2.474","3.547"
"2025-03-11T23:30:00.000-0400","2.7744000000000004","2.433","3.071"
"2025-03-11T23:45:00.000-0400","2.8969230769230765","2.471","3.723"
"2025-03-12T00:00:00.000-0400","3.0186666666666664","2.520","4.039"
"2025-03-12T00:15:00.000-0400","3.0629999999999997","2.455","3.995"
"2025-03-12T00:30:00.000-0400","2.727375","2.383","3.174"
"2025-03-12T00:45:00.000-0400","2.910125","2.475","3.376"
"2025-03-12T01:00:00.000-0400","3.1010000000000004","2.778","3.676"
"2025-03-12T01:15:00.000-0400","2.976","2.547","3.358"
"2025-03-12T01:30:00.000-0400","2.7755714285714284","2.480","3.032"
"2025-03-12T01:45:00.000-0400","2.82125","2.459","3.289"
"2025-03-12T02:00:00.000-0400","2.9365","2.677","3.271"
"2025-03-12T02:15:00.000-0400","3.1246666666666667","2.840","3.530"
"2025-03-12T02:30:00.000-0400","3.5525","3.352","3.753"
"2025-03-12T02:45:00.000-0400","2.9605","2.655","3.266"
"2025-03-12T03:00:00.000-0400","2.87275","2.624","3.052"
"2025-03-12T03:15:00.000-0400","3.007","2.746","3.804"
"2025-03-12T03:30:00.000-0400","3.0015","2.508","3.495"
"2025-03-12T03:45:00.000-0400","2.9210000000000003","2.921","2.921"
"2025-03-12T04:00:00.000-0400","3.3609999999999998","2.723","4.265"
"2025-03-12T04:15:00.000-0400","2.932","2.932","2.932"
"2025-03-12T04:30:00.000-0400","2.615","2.303","2.821"
"2025-03-12T04:45:00.000-0400","3.854","3.854","3.854"
"2025-03-12T05:00:00.000-0400","2.779","2.779","2.779"
"2025-03-12T05:15:00.000-0400","2.999","2.969","3.029"
"2025-03-12T05:30:00.000-0400","3.1690000000000005","2.802","3.441"
"2025-03-12T05:45:00.000-0400","2.693","2.571","2.815"
"2025-03-12T06:00:00.000-0400","2.8989999999999996","2.378","3.414"
"2025-03-12T06:15:00.000-0400","2.5155000000000003","2.442","2.589"
"2025-03-12T06:30:00.000-0400","3.079333333333334","2.828","3.460"
"2025-03-12T06:45:00.000-0400","3.325","3.325","3.325"
"2025-03-12T07:00:00.000-0400","2.916833333333333","2.751","3.069"
"2025-03-12T07:15:00.000-0400","3.249714285714286","2.894","3.615"
"2025-03-12T07:30:00.000-0400","3.0171666666666668","2.645","3.567"
"2025-03-12T07:45:00.000-0400","3.2268333333333334","2.748","4.055"
"2025-03-12T08:00:00.000-0400","2.8991666666666664","2.563","3.465"
"2025-03-12T08:15:00.000-0400","3.0344285714285713","2.830","3.512"
"2025-03-12T08:30:00.000-0400","3.118","2.667","4.528"
"2025-03-12T08:45:00.000-0400","3.2350000000000003","2.905","3.527"
"2025-03-12T09:00:00.000-0400","2.992272727272727","2.366","3.661"
"2025-03-12T09:15:00.000-0400","3.0008571428571424","2.567","4.006"
"2025-03-12T09:30:00.000-0400","2.9759","2.623","3.498"
"2025-03-12T09:45:00.000-0400","2.9946315789473683","2.455","3.958"
"2025-03-12T10:00:00.000-0400","3.1040625000000004","2.570","3.813"
"2025-03-12T10:15:00.000-0400","2.951666666666666","2.555","3.655"
"2025-03-12T10:30:00.000-0400","3.0230625","2.543","3.525"
"2025-03-12T10:45:00.000-0400","3.0354375","2.490","3.800"
"2025-03-12T11:00:00.000-0400","3.1518000000000006","2.652","3.866"
"2025-03-12T11:15:00.000-0400","2.999133333333333","2.616","3.388"
"2025-03-12T11:30:00.000-0400","2.94709090909091","2.556","3.688"
"2025-03-12T11:45:00.000-0400","3.0454761904761902","2.423","3.631"
"2025-03-12T12:00:00.000-0400","3.1579","2.435","4.294"
"2025-03-12T12:15:00.000-0400","3.0374166666666667","2.478","3.699"
"2025-03-12T12:30:00.000-0400","3.084866666666666","2.724","3.604"
"2025-03-12T12:45:00.000-0400","3.12725","2.639","3.565"
"2025-03-12T13:00:00.000-0400","3.399888888888889","2.803","4.014"
"2025-03-12T13:15:00.000-0400","3.1467499999999995","2.428","4.153"
"2025-03-12T13:30:00.000-0400","3.280933333333333","2.755","3.979"
"2025-03-12T13:45:00.000-0400","3.5664347826086953","2.554","12.713"
"2025-03-12T14:00:00.000-0400","3.277647058823529","2.679","4.401"
"2025-03-12T14:15:00.000-0400","3.0689047619047622","2.362","4.193"
"2025-03-12T14:30:00.000-0400","3.158190476190476","2.550","3.817"
"2025-03-12T14:45:00.000-0400","3.040692307692308","2.622","3.609"
"2025-03-12T15:00:00.000-0400","2.9196875","2.526","3.672"
"2025-03-12T15:15:00.000-0400","3.066666666666667","2.396","3.712"
"2025-03-12T15:30:00.000-0400","3.1623846153846156","2.692","3.678"
"2025-03-12T15:45:00.000-0400","3.2209615384615384","2.593","4.883"
"2025-03-12T16:00:00.000-0400","3.1239599999999994","2.631","4.467"
"2025-03-12T16:15:00.000-0400","2.8794210526315793","2.506","3.369"
"2025-03-12T16:30:00.000-0400","3.0410434782608697","2.445","4.050"
"2025-03-12T16:45:00.000-0400","2.9775882352941174","2.640","3.399"
"2025-03-12T17:00:00.000-0400","3.122190476190476","2.580","4.025"
"2025-03-12T17:15:00.000-0400","3.0729655172413795","2.450","4.042"
"2025-03-12T17:30:00.000-0400","3.003085106382979","2.459","4.080"
"2025-03-12T17:45:00.000-0400","3.0481555555555557","2.438","3.831"
"2025-03-12T18:00:00.000-0400","3.041102564102564","2.537","3.906"
"2025-03-12T18:15:00.000-0400","3.159225","2.440","4.334"
"2025-03-12T18:30:00.000-0400","3.0691515151515154","2.487","4.334"
"2025-03-12T18:45:00.000-0400","2.9914090909090905","2.420","3.684"
"2025-03-12T19:00:00.000-0400","3.03578947368421","2.347","4.079"
"2025-03-12T19:15:00.000-0400","2.9957575757575756","2.512","4.066"
"2025-03-12T19:30:00.000-0400","2.9522608695652175","2.329","3.811"
"2025-03-12T19:45:00.000-0400","3.0030333333333337","2.387","3.622"
"2025-03-12T20:00:00.000-0400","3.0551951219512197","2.545","4.029"
"2025-03-12T20:15:00.000-0400","2.957145833333333","2.508","3.813"
"2025-03-12T20:30:00.000-0400","3.062325581395349","2.579","4.044"
"2025-03-12T20:45:00.000-0400","2.990475","0.154","6.924"
"2025-03-12T21:00:00.000-0400","2.936617021276596","0.118","3.892"
"2025-03-12T21:15:00.000-0400","2.9961136363636367","2.405","4.567"
"2025-03-12T21:30:00.000-0400","2.9327111111111113","2.543","3.655"
"2025-03-12T21:45:00.000-0400","2.906234042553192","2.451","3.989"
"2025-03-12T22:00:00.000-0400","2.9634705882352943","2.473","3.924"
"2025-03-12T22:15:00.000-0400","3.021617647058824","2.317","4.016"
"2025-03-12T22:30:00.000-0400","2.905291666666667","2.394","3.512"
"2025-03-12T22:45:00.000-0400","2.9836730769230773","2.391","4.131"
"2025-03-12T23:00:00.000-0400","2.927285714285714","2.320","5.655"
"2025-03-12T23:15:00.000-0400","2.9160000000000004","2.442","4.993"
"2025-03-12T23:30:00.000-0400","2.942969696969697","2.444","3.682"
"2025-03-12T23:45:00.000-0400","2.815129032258065","2.367","5.001"
"2025-03-13T00:00:00.000-0400","2.809388888888889","2.420","3.536"
"2025-03-13T00:15:00.000-0400","2.9933","2.318","3.459"
"2025-03-13T00:30:00.000-0400","2.8123000000000005","2.338","3.487"
"2025-03-13T00:45:00.000-0400","2.8587000000000002","2.521","3.352"
"2025-03-13T01:00:00.000-0400","2.896","2.471","3.392"
"2025-03-13T01:15:00.000-0400","2.8470000000000004","2.456","3.476"
"2025-03-13T01:30:00.000-0400","2.7385","2.630","2.896"
"2025-03-13T01:45:00.000-0400","3.010111111111111","2.767","3.286"
"2025-03-13T02:00:00.000-0400","3.0395714285714286","2.497","3.838"
"2025-03-13T02:15:00.000-0400","2.9128","2.636","3.491"
"2025-03-13T02:30:00.000-0400",,,
"2025-03-13T02:45:00.000-0400","2.942","2.571","3.892"
